header,type,class,mechanism,group
MEG_1|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,Drugs,Aminoglycosides,Aminoglycoside-resistant 16S ribosomal subunit protein,A16S
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,Drugs,Aminoglycosides,Aminoglycoside-resistant 16S ribosomal subunit protein,A16S
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,Drugs,Aminoglycosides,Aminoglycoside-resistant 16S ribosomal subunit protein,A16S
MEG_4|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,Drugs,Aminoglycosides,Aminoglycoside-resistant 16S ribosomal subunit protein,A16S
MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,Drugs,Aminoglycosides,Aminoglycoside-resistant 16S ribosomal subunit protein,A16S
MEG_6|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,Drugs,Aminoglycosides,Aminoglycoside-resistant 16S ribosomal subunit protein,A16S
MEG_7|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,Drugs,Aminoglycosides,Aminoglycoside-resistant 16S ribosomal subunit protein,A16S
MEG_8|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,Drugs,Aminoglycosides,Aminoglycoside-resistant 16S ribosomal subunit protein,A16S
MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,Drugs,Aminoglycosides,Aminoglycoside-resistant 16S ribosomal subunit protein,A16S
MEG_10|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,Drugs,Aminoglycosides,Aminoglycoside-resistant 16S ribosomal subunit protein,A16S
MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,Drugs,Aminoglycosides,Aminoglycoside-resistant 16S ribosomal subunit protein,A16S
MEG_12|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,Drugs,Aminoglycosides,Aminoglycoside-resistant 16S ribosomal subunit protein,A16S
MEG_13|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC2-PRIME
MEG_14|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC2-PRIME
