Source_Database	MEGARes_Header	Source_Headers(space_separated)
ARG-ANNOT	Bla|OXA-223|JN248564|1-825|825|betalactams|Class_D_betalactamases|OXA	(Bla)OXA-223:JN248564:1-825:825
CARD	Bla|OXA-223|JN248564|1-825|825|betalactams|Class_D_betalactamases|OXA	@phgb|JN248564|0-825|ARO:3001669|OXA-223 [Acinetobacter baumannii]
Lahey	Bla|OXA-223|JN248564|1-825|825|betalactams|Class_D_betalactamases|OXA	AEL88491.1 JN248564.1:1-825
NCBI	Bla|OXA-223|JN248564|1-825|825|betalactams|Class_D_betalactamases|OXA	gi|343129264|gb|JN248564.1|1-825
Resfinder	Bla|OXA-223|JN248564|1-825|825|betalactams|Class_D_betalactamases|OXA	blaOXA-223_1_JN248564
CARD	gi|698174209|gb|KM087859.1|betalactams|Class_C_betalactamases|MIR	@phgb|KM087859|0-1146|ARO:3002176|MIR-11 [Enterobacter cloacae]
Lahey	gi|698174209|gb|KM087859.1|betalactams|Class_C_betalactamases|MIR	AIT76112.1 KM087859.1:1-1146
NCBI	gi|698174209|gb|KM087859.1|betalactams|Class_C_betalactamases|MIR	gi|698174209|gb|KM087859.1|1-1146
ARG-ANNOT	1172|AF317511.1|AF317511|betalactams|Class_B_betalactamases|VIM	(Bla)VIM-1:GU724868:1023-1823:801
CARD	1172|AF317511.1|AF317511|betalactams|Class_B_betalactamases|VIM	@phgb|AF317511|187-988|ARO:3002271|VIM-1 [Pseudomonas aeruginosa]
Lahey	1172|AF317511.1|AF317511|betalactams|Class_B_betalactamases|VIM	CAB46686.1 Y18050.2:3225-4025
NCBI	1172|AF317511.1|AF317511|betalactams|Class_B_betalactamases|VIM	gi|952947758|gb|KT124311.1|1-801 gi|941350200|gb|KT345946.1|25800-26600 gi|930190865|emb|LN555650.1|262021-261221 gi|930189590|emb|HG530658.1|197729-196929 gi|887516996|gb|KR338351.1|1181-1981 gi|730042884|gb|KJ571202.1|3646-4446 gi|826570395|gb|KR262557.1|718-1518 gi|825088700|gb|KP975077.1|107339-106539 gi|821393026|gb|KP873172.1|23963-23163 gi|821392896|gb|KP873171.1|19528-18728 gi|821392896|gb|KP873171.1|20442-19642 gi|821392896|gb|KP873171.1|21995-21195
Resfinder	1172|AF317511.1|AF317511|betalactams|Class_B_betalactamases|VIM	blaVIM-1_1_Y18050
ARG-ANNOT	959|M97297.1|TRNVAN|Glycopeptides|VanA-type_accessory_protein|VANZA	(Gly)VanZ-A:M97297:10116-10601:486
