header,class,mechanism,group
Bla|OXA-223|JN248564|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|698174209|gb|KM087859.1|betalactams|Class_C_betalactamases|MIR,betalactams,Class C betalactamases,MIR
1172|AF317511.1|AF317511|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
959|M97297.1|TRNVAN|Glycopeptides|VanA-type_accessory_protein|VANZA,Glycopeptides,VanA-type accessory protein,VANZA
Gly|VanY-A|M97297|9052-9963|912|Glycopeptides|VanA-type_accessory_protein|VANYA,Glycopeptides,VanA-type accessory protein,VANYA
Mdr|AY769962.1|gene1|Multi-drug_resistance|Multi-drug_efflux_pumps|ADEAI,Multi-drug resistance,Multi-drug efflux pumps,ADEAI
617|HQ875016.1|HQ875016|Phenicol|Phenicol_efflux_pumps|CML,Phenicol,Phenicol efflux pumps,CML
Bla|SHV-65|DQ174305|5-865|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|OXA-183|HQ111474|1057-1857|801|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
AGly|NC_004973.1.1449625|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME
gi|698174187|gb|KM087848.1|betalactams|Class_C_betalactamases|DHA,betalactams,Class C betalactamases,DHA
1286|U14749.1|PAU14749|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB
122|AJ579365.1|AJ579365|MLS|Streptogramin_resistance_ATP-binding_cassette_ABC_efflux_pumps|LSA,MLS,Streptogramin resistance ATP-binding cassette ABC efflux pumps,LSA
Flq|QnrB46|JQ349154|1-680|680|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
Bla|OXA-17_1_AF060206|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|GQ891757.1|gene9|betalactams|Class_A_betalactamases|PER,betalactams,Class A betalactamases,PER
Sul|sul2_15_FJ968160|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII
Bla|SME-1|Z28968|128-1012|885|betalactams|Class_A_betalactamases|SME,betalactams,Class A betalactamases,SME
CARD|phgb|AF030344|0-1260|ARO:3000181|tetV|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETV,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETV
Bla|SHV-56|AY352599|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Sul|sul1_14_AJ517791|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
Bla|CTX-M-136|KC351754|158-1033|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Flq|CP001918.1|gene3562|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
gi|591542788|gb|KJ207200.1|betalactams|Class_C_betalactamases|MIR,betalactams,Class C betalactamases,MIR
Tmt|DfrC|Z48233|337-822|486|Trimethoprim|Dihydrofolate_reductase|DFRC|RequiresSNPConfirmation,Trimethoprim,Dihydrofolate reductase,DFRC
CARD|phgb|U00096|3413863-3415021|ARO:3000499|acrE|Aminoglycosides|Aminoglycoside_efflux_pumps|ACRE,Aminoglycosides,Aminoglycoside efflux pumps,ACRE
AGly|AY339625.2|gene5|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME
6|AF173226.1|AF173226|Multi-drug_resistance|Multi-drug_efflux_pumps|sme,Multi-drug resistance,Multi-drug efflux pumps,sme
gi|360040237|gb|JN861782.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
AGly|aac6-prime-Ib-cr_3_EF210035|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
gi|537430802|gb|KF057031.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|SHV-11|HM751098|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|OXA-136_1_EU086833|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Tet|TetO|M18896|207-2126|1920|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETO
984|AB116646.1|AB116646|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
gi|478437782|gb|KC465199.1|betalactams|Class_A_betalactamases|KPC,betalactams,Class A betalactamases,KPC
MLS|ereA_3_AF326209|MLS|Macrolide_esterases|EREA,MLS,Macrolide esterases,EREA
Mdr|AP009048.1|gene3414|Multi-drug_resistance|MDR_regulator|CPXAR,Multi-drug resistance,MDR regulator,CPXAR
Flq|QepA2|EU847537|1672-3107|1536|Fluoroquinolones|Quinolone_active_efflux|QEPA,Fluoroquinolones,Quinolone active efflux,QEPA
Bla|KJ188748.1|gene1|betalactams|Class_A_betalactamases|SME,betalactams,Class A betalactamases,SME
Phe|AF024666.2|gene33|Phenicol|Phenicol_efflux_pumps|CMXAB,Phenicol,Phenicol efflux pumps,CMXAB
ACou|AE016830.1|gene1599|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE
Bla|CTX-M-21|AJ416346|557-1432|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
CARD|phgb|EU269034|1479-2223|ARO:3002667|rmtD|Aminoglycosides|16S_rRNA_methyltransferases|RMTD,Aminoglycosides,16S rRNA methyltransferases,RMTD
AGly|AadA1|M95287|3320-4111|792|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MLS|ermX_4_NC_005206|MLS|23S_rRNA_methyltransferases|ERMX,MLS,23S rRNA methyltransferases,ERMX
Bla|AF231133.1|gene3|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
859|U41471.1|MFU41471|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC2-PRIME
Sul|NC_007793.3915320|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
CARD|pvgb|NC_002952|594518-598142|ARO:3003291|Staphylococcus|Lipopeptides|Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC|RPOC|RequiresSNPConfirmation,Lipopeptides,Daptomycin-resistant beta-subunit of RNA polymerase RpoC,RPOC
1531|unknown_id|unknown_name|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETA,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETA
Gly|VanW-G_1_AY271782|Glycopeptides|VanG-type_accessory_protein|VANWG,Glycopeptides,VanG-type accessory protein,VANWG
Bla|PAO2_FJ666065|betalactams|Class_C_betalactamases|PDC,betalactams,Class C betalactamases,PDC
CARD|phgb|AL009126|1376854-1377172|ARO:3003064|ykkD|Multi-drug_resistance|Multi-drug_efflux_pumps|YKKD,Multi-drug resistance,Multi-drug efflux pumps,YKKD
gi|47109375|emb|AJ704396.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Flq|OqxA|EU370913|46652-47827|1176|Multi-drug_resistance|Multi-drug_efflux_pumps|OQXA,Multi-drug resistance,Multi-drug efflux pumps,OQXA
CARD|phgb|EF540343|1059-1440|ARO:3000160|blaI|betalactams|Penicillin_binding_protein_regulator|BLAI,betalactams,Penicillin binding protein regulator,BLAI
Bla|OXA-333_1_KF203107|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|734665100|gb|KM589641.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
CARD|phgb|AJ012256|208-1069|ARO:3000943|TEM-77|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Amp|HM140977.1|gene1|Lipopeptides|Phosphotidylglycerol_lysyltransferase|MPRF|RequiresSNPConfirmation,Lipopeptides,Phosphotidylglycerol lysyltransferase,MPRF
Bla|CTX-M-9|AF174129|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|KJ020573.1|gene1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
CARD|phgb|AM411407|0-876|ARO:3001921|CTX-M-60|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|TEM-107|AY101764|207-1067|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
