header,type,class,mechanism,group
MEG_372|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|ABEM,Drugs,Multi-drug resistance,Multi-drug MATE efflux pumps,ABEM
MEG_373|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|ABEM,Drugs,Multi-drug resistance,Multi-drug MATE efflux pumps,ABEM
MEG_374|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|ABES,Drugs,Multi-drug resistance,Multi-drug SMR efflux pumps,ABES
MEG_375|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|ABES,Drugs,Multi-drug resistance,Multi-drug SMR efflux pumps,ABES
MEG_376|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|ABES,Drugs,Multi-drug resistance,Multi-drug SMR efflux pumps,ABES
MEG_377|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|ABES,Drugs,Multi-drug resistance,Multi-drug SMR efflux pumps,ABES
MEG_378|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|ABES,Drugs,Multi-drug resistance,Multi-drug SMR efflux pumps,ABES
MEG_379|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|ABES,Drugs,Multi-drug resistance,Multi-drug SMR efflux pumps,ABES
MEG_380|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|ABES,Drugs,Multi-drug resistance,Multi-drug SMR efflux pumps,ABES
MEG_399|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRA,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ACRA
MEG_400|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRA,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ACRA
MEG_401|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ACRB
MEG_402|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ACRB
MEG_403|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRC,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ACRC
MEG_404|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ACRD
MEG_405|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ACRD
MEG_406|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ACRD
MEG_407|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ACRD
MEG_408|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRE,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ACRE
MEG_409|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ACRF
MEG_410|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ACRF
MEG_411|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRR|RequiresSNPConfirmation,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,ACRR
MEG_412|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRR|RequiresSNPConfirmation,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,ACRR
MEG_413|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRR|RequiresSNPConfirmation,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,ACRR
MEG_414|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRR|RequiresSNPConfirmation,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,ACRR
MEG_415|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRS,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,ACRS
MEG_677|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEA,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ADEA
MEG_678|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEB,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ADEB
MEG_679|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEC,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ADEC
MEG_680|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADED,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ADED
MEG_681|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEE,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ADEE
MEG_682|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEF,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ADEF
MEG_683|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEF,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ADEF
MEG_684|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEG,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ADEG
MEG_685|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEH,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ADEH
MEG_686|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEI,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ADEI
MEG_687|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEI,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ADEI
MEG_688|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEI,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ADEI
MEG_689|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEI,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ADEI
MEG_690|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEI,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ADEI
MEG_691|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEI,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ADEI
