Database,Source_header,MEGARes_header,UpdatedHeader
CARD,CARD|gb|AB001778.1|+|0-1507|ARO:3003485|Chlamydophila psittaci 16S rRNA mutation conferring resistance to spectinomycin [Chlamydia psittaci 6BC] ,MEG_1|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,
CARD,CARD|gb|AE006468|+|3570463-3572006|ARO:3003512|Salmonella enterica serovar Typhimurium 16S rRNA mutation in the rrsD gene conferring resistance to spectinomycin [Salmonella enterica subsp. salamae] ,MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,
CARD,CARD|gb|AL123456.3|+|1471846-1473382|ARO:3003481|Mycobacterium tuberculosis 16S rRNA mutation conferring resistance to amikacin [Mycobacterium tuberculosis H37Rv] ,MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,
CARD,CARD|gb|CP020418|+|383737-385288|ARO:3003495|Neisseria gonorrhoeae 16S rRNA mutation conferring resistance to spectinomycin [Neisseria gonorrhoeae] ,MEG_4|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,
CARD,CARD|gb|CU458896.1|+|1462398-1463901|ARO:3003240|Mycobacteroides abscessus 16S rRNA mutation conferring resistance to gentamicin [Mycobacteroides abscessus] ,MEG_5|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,
CARD,CARD|gb|NC_002663.1|+|341427-342977|ARO:3003493|Pasteurella multocida 16S rRNA mutation conferring resistance to spectinomycin [Pasteurella multocida 36950] ,MEG_6|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,
CARD,CARD|gb|NC_003112|+|60970-62514|ARO:3003497|Neisseria meningitidis 16S rRNA mutation conferring resistance to spectinomycin [Neisseria meningitidis MC58] ,MEG_7|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,
CARD,CARD|gb|NC_005353.1|+|38549-40023|ARO:3003978|Chlamydomonas reinhardtii 16S rRNA mutation in the rrnS gene conferring resistance to streptomycin [Chlamydomonas reinhardtii] ,MEG_8|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,
CARD,CARD|gb|NC_008596.1|+|5027948-5029475|ARO:3003541|Mycolicibacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to streptomycin [Mycolicibacterium smegmatis MC2 155] ,MEG_9|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,
CARD,CARD|gb|NR_044732.2|+|0-1477|ARO:3003504|Borreliella burgdorferi 16S rRNA mutation conferring resistance to gentamicin [Borreliella burgdorferi] ,MEG_10|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,
