S1_test,S3_test,S2_test
MEG_6377|Drugs|betalactams|Class_A_betalactamases|SHV,0,4.0,0
MEG_708|Drugs|betalactams|Class_A_betalactamases|AER,10.0,10.0,6.0
MEG_2395|Drugs|betalactams|Class_A_betalactamases|CTX,4.0,4.0,2.0
MEG_1999|Drugs|betalactams|Class_C_betalactamases|CMY,8.0,8.0,0
MEG_6945|Drugs|betalactams|Class_A_betalactamases|TEM,2.0,8.0,0
MEG_5098|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,4.0,0
MEG_1016|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,0,2.0,0
MEG_4072|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRC,0,10.0,0
MEG_5169|Drugs|betalactams|Class_D_betalactamases|OXA,4.0,6.0,4.0
MEG_4044|Drugs|MLS|Macrolide_phosphotransferases|MPHE,4.0,4.0,2.0
MEG_4110|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|NALD|RequiresSNPConfirmation,2.0,0,0
MEG_2380|Drugs|betalactams|Class_A_betalactamases|CTX,4.0,2.0,0
MEG_4987|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,4.0,2.0
MEG_7485|Drugs|Glycopeptides|VanO-type_regulator|VANRO,4.0,6.0,0
MEG_6025|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,0,4.0,0
MEG_4191|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMI,0,4.0,0
MEG_4039|Drugs|MLS|Macrolide_phosphotransferases|MPHC,4.0,4.0,0
MEG_6258|Drugs|betalactams|Class_A_betalactamases|SHV,0,2.0,0
MEG_6118|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,16.0,20.0,12.0
MEG_4921|Drugs|betalactams|Class_D_betalactamases|OXA,4.0,8.0,0
MEG_6058|Drugs|MLS|23S_rRNA_methyltransferases|RLMH,2.0,4.0,2.0
MEG_7216|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,4.0,0,0
MEG_3645|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|LSA,6.0,2.0,2.0
MEG_6494|Drugs|betalactams|Class_A_betalactamases|SHV,0,6.0,0
MEG_3244|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|GYRBA|RequiresSNPConfirmation,14.0,20.0,12.0
MEG_6604|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,6.0,6.0,2.0
MEG_2309|Drugs|betalactams|Class_A_betalactamases|CTX,2.0,2.0,0
MEG_3659|Drugs|betalactams|Class_A_betalactamases|MAL,2.0,6.0,0
MEG_295|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,2.0,0
MEG_1877|Drugs|betalactams|Class_C_betalactamases|CMY,10.0,8.0,4.0
MEG_3107|Drugs|betalactams|Class_A_betalactamases|GES,2.0,2.0,2.0
MEG_4676|Drugs|betalactams|Class_D_betalactamases|OXA,0,2.0,0
MEG_2356|Drugs|betalactams|Class_A_betalactamases|CTX,6.0,4.0,2.0
MEG_5723|Drugs|betalactams|Class_C_betalactamases|PDC,2.0,4.0,2.0
MEG_5485|Drugs|betalactams|Class_C_betalactamases|PDC,0,2.0,0
MEG_6815|Drugs|betalactams|Class_A_betalactamases|TEM,2.0,4.0,2.0
MEG_4948|Drugs|betalactams|Class_D_betalactamases|OXA,0,4.0,0
MEG_7401|Drugs|Glycopeptides|VanA-type_resistance_protein|VANHA,6.0,6.0,2.0
MEG_5793|Drugs|betalactams|Class_A_betalactamases|PME,0,2.0,0
MEG_6818|Drugs|betalactams|Class_A_betalactamases|TEM,2.0,0,2.0
MEG_5394|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PAREF|RequiresSNPConfirmation,8.0,6.0,4.0
MEG_6022|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,2.0,2.0,0
MEG_7266|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLC,0,2.0,0
MEG_1814|Drugs|betalactams|Class_C_betalactamases|CMY,4.0,0,2.0
MEG_4379|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|OTRA,4.0,12.0,2.0
MEG_4791|Drugs|betalactams|Class_D_betalactamases|OXA,4.0,16.0,0
MEG_2349|Drugs|betalactams|Class_A_betalactamases|CTX,8.0,2.0,2.0
MEG_3573|Drugs|betalactams|Class_A_betalactamases|LEN,8.0,2.0,2.0
MEG_995|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,4.0,4.0,2.0
MEG_2408|Drugs|betalactams|Class_A_betalactamases|CTX,0,8.0,0
MEG_3190|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,4.0,8.0,0
MEG_6637|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,0,2.0,0
MEG_7754|Drugs|betalactams|Class_B_betalactamases|VIM,0,4.0,0
MEG_884|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,2.0,0
MEG_4278|Drugs|MLS|Macrolide_glycosyltransferases|OLEI,8.0,6.0,4.0
MEG_2237|Drugs|betalactams|Class_A_betalactamases|CTX,8.0,2.0,4.0
MEG_6362|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,6.0,0
MEG_6789|Drugs|betalactams|Class_A_betalactamases|TEM,0,4.0,0
MEG_5090|Drugs|betalactams|Class_D_betalactamases|OXA,0,4.0,0
MEG_1049|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,4.0,4.0,4.0
MEG_2585|Drugs|betalactams|Class_C_betalactamases|DHA,0,6.0,0
MEG_4230|Drugs|betalactams|Class_C_betalactamases|OCH,0,6.0,0
MEG_6720|Drugs|betalactams|Class_A_betalactamases|TEM,2.0,2.0,0
MEG_7376|Drugs|Glycopeptides|VanC-type_resistance_protein|VANC,2.0,0,2.0
MEG_7134|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,2.0,2.0,2.0
MEG_5283|Drugs|betalactams|Class_A_betalactamases|OXY,0,4.0,0
MEG_7503|Drugs|Glycopeptides|VanC-type_regulator|VANSC,4.0,2.0,0
MEG_2610|Drugs|betalactams|Class_C_betalactamases|DHA,2.0,6.0,2.0
MEG_6294|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,4.0,0
MEG_1650|Drugs|betalactams|Class_A_betalactamases|CEPA,8.0,6.0,2.0
MEG_6610|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,4.0,4.0,2.0
MEG_6795|Drugs|betalactams|Class_A_betalactamases|TEM,6.0,8.0,4.0
MEG_7428|Drugs|Glycopeptides|VanD-type_resistance_protein|VANHD,2.0,4.0,2.0
MEG_3317|Drugs|betalactams|Class_B_betalactamases|IMP,2.0,2.0,0
MEG_3345|Drugs|betalactams|Class_B_betalactamases|IMP,0,2.0,0
MEG_3607|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUA,4.0,4.0,2.0
MEG_6406|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,6.0,2.0
MEG_6994|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET40,2.0,2.0,0
MEG_703|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ADER,4.0,2.0,2.0
MEG_1057|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,2.0,4.0,2.0
MEG_2398|Drugs|betalactams|Class_A_betalactamases|CTX,4.0,8.0,2.0
MEG_6232|Drugs|betalactams|Class_A_betalactamases|SHV,4.0,4.0,4.0
MEG_1866|Drugs|betalactams|Class_C_betalactamases|CMY,6.0,6.0,4.0
MEG_3472|Drugs|betalactams|Class_A_betalactamases|KPC,2.0,0,2.0
MEG_6839|Drugs|betalactams|Class_A_betalactamases|TEM,0,2.0,0
MEG_7609|Drugs|Glycopeptides|VanF-type_accessory_protein|VANYF,0,2.0,0
MEG_1676|Drugs|betalactams|Class_B_betalactamases|CFIA,4.0,0,0
MEG_384|Drugs|betalactams|Class_C_betalactamases|ACC,4.0,4.0,4.0
MEG_5386|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,14.0,20.0,6.0
MEG_5083|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,2.0,2.0
MEG_4458|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,0,2.0
MEG_6437|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,6.0,2.0
MEG_5376|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,10.0,22.0,8.0
MEG_7730|Drugs|betalactams|Class_B_betalactamases|VIM,2.0,0,2.0
MEG_7628|Drugs|MLS|Streptogramin_A_O-acetyltransferase|VATE,4.0,6.0,2.0
MEG_7394|Drugs|Glycopeptides|VanG-type_resistance_protein|VANG,2.0,0,2.0
MEG_7342|Drugs|Glycopeptides|VanA-type_resistance_protein|VANA,2.0,4.0,2.0
MEG_1093|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,4.0,8.0,4.0
MEG_1673|Drugs|betalactams|Class_B_betalactamases|CFIA,2.0,2.0,0
MEG_6512|Drugs|betalactams|Class_B_betalactamases|SIM,6.0,8.0,6.0
MEG_7549|Drugs|Glycopeptides|VanA-type_resistance_protein|VANXA,2.0,6.0,2.0
MEG_4271|Drugs|betalactams|Class_A_betalactamases|OKP,0,6.0,0
MEG_2942|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,2.0,2.0,0
MEG_3910|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXE,10.0,14.0,6.0
MEG_4038|Drugs|MLS|Macrolide_phosphotransferases|MPHC,4.0,2.0,2.0
MEG_6821|Drugs|betalactams|Class_A_betalactamases|TEM,0,4.0,0
MEG_1005|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9,2.0,4.0,2.0
MEG_2365|Drugs|betalactams|Class_A_betalactamases|CTX,2.0,2.0,0
MEG_2481|Drugs|betalactams|Class_A_betalactamases|DES,2.0,6.0,0
MEG_4768|Drugs|betalactams|Class_D_betalactamases|OXA,0,2.0,0
MEG_3407|Drugs|betalactams|Class_B_betalactamases|IND,2.0,2.0,2.0
MEG_5347|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,12.0,10.0,4.0
MEG_6444|Drugs|betalactams|Class_A_betalactamases|SHV,6.0,2.0,2.0
MEG_7148|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,2.0,0,2.0
MEG_1599|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,0,2.0,0
MEG_6308|Drugs|betalactams|Class_A_betalactamases|SHV,4.0,8.0,2.0
MEG_246|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,4.0,0,0
MEG_6270|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,2.0,2.0
MEG_4421|Drugs|betalactams|Class_D_betalactamases|OXA,6.0,0,2.0
MEG_6571|Drugs|betalactams|Class_C_betalactamases|SRT,2.0,6.0,2.0
MEG_4050|Drugs|MLS|Macrolide_phosphotransferases|MPHM,4.0,8.0,4.0
